20170721;184;126;222
20170722;192;145;246
20170723;163;133;202
20170724;156;116;193
20170725;165;123;202
20170726;186;130;235
20170727;182;164;211
20170728;177;158;210
20170729;185;164;231
20170730;183;142;216
20170731;182;133;222
20170801;182;128;229
20170802;183;154;218
20170803;191;170;221
20170804;186;162;215
20170805;165;119;205
20170806;163;107;211
20170807;165;111;216
20170808;166;129;195
20170809;169;126;209
20170810;164;106;204
20170811;167;132;205
20170812;170;120;216
20170813;163;113;207
20170814;184;126;244
20170815;181;142;216
20170816;174;112;230
20170817;175;151;202
20170818;171;127;210
20170819;160;126;193
20170820;163;127;196
20170821;164;120;213
20170822;182;133;232
20170823;197;137;253
20170824;182;137;211
20170825;177;125;224
20170826;186;129;240
20170827;186;119;246
20170828;195;137;259
20170829;210;150;276
20170830;168;134;200
20170831;148;98;196
20170901;147;89;188
20170902;144;89;193
20170903;146;74;204
20170904;170;112;216
20170905;186;165;222
20170906;160;133;187
20170907;162;139;193
20170908;149;126;168
20170909;141;102;182
20170910;144;99;187
20170911;141;120;177
20170912;149;128;175
20170913;147;121;176
20170914;127;99;159
20170915;126;92;167
20170916;116;87;136
20170917;119;60;163
20170918;122;84;169
20170919;127;95;171
20170920;143;106;180
20170921;144;109;187
20170922;123;72;172
20170923;122;63;184
20170924;135;69;190
20170925;146;102;180
20170926;139;109;159
20170927;143;84;196
20170928;159;128;193
20170929;168;128;228
20170930;135;82;162
20171001;140;94;171
20171002;157;139;176
20171003;139;118;168
20171004;136;122;158
20171005;133;114;158
20171006;118;101;147
20171007;127;103;151
20171008;127;112;153
20171009;125;107;145
20171010;145;121;164
20171011;148;136;160
20171012;135;104;159
20171013;152;107;188
20171014;152;108;195
20171015;160;109;215
20171016;182;134;234
20171017;129;82;156
20171018;143;106;178
20171019;160;115;203
20171020;135;107;167
20171021;129;108;173
20171022;115;99;136
20171023;128;108;152
20171024;154;132;169
20171025;141;93;173
20171026;138;113;168
20171027;117;95;145
20171028;130;106;154
20171029;104;56;151
20171030;83;46;121
20171031;110;78;130
20171101;116;89;139
20171102;97;48;149
20171103;95;47;136
20171104;108;86;133
20171105;76;51;107
20171106;60;11;105
20171107;42;-2;94
20171108;62;18;79
20171109;88;62;120
20171110;93;63;121
20171111;77;39;109
20171112;60;44;77
20171113;69;33;107
20171114;81;42;106
20171115;100;91;110
20171116;95;46;115
20171117;61;18;111
20171118;76;51;98
20171119;72;35;100
20171120;85;53;120
20171121;119;109;127
20171122;109;93;129
20171123;106;71;146
20171124;67;37;96
20171125;44;1;81
20171126;62;38;81
20171127;76;55;103
20171128;57;26;85
20171129;31;6;52
20171130;19;-22;46
20171201;4;-43;46
20171202;-2;-41;16
20171203;53;15;89
20171204;73;48;91
20171205;84;71;93
20171206;86;69;102
20171207;62;47;78
20171208;34;9;63
20171209;34;8;58
20171210;8;0;17
20171211;2;-36;18
20171212;19;4;50
20171213;37;8;65
20171214;35;4;65
20171215;23;-20;45
20171216;24;-13;64
20171217;27;-24;66
20171218;59;2;82
20171219;56;6;81
20171220;77;50;91
20171221;84;74;91
20171222;84;51;99
20171223;86;80;92
20171224;85;77;96
20171225;76;46;99
20171226;58;45;74
20171227;53;36;70
20171228;43;19;56
20171229;32;-4;73
20171230;87;39;118
20171231;104;80;131
